,id,titulo,moneda,precio_usado,marca,modelo,version,condicion,anio_vehiculo,kilometraje,potencia,transmision,control_traccion,tipo_combustible,puertas,aire_acondicionado,color,tienda_oficial,id_seller,nickname,fecha_baja_publicacion,tipo_anuncio,enlace_publicacion,cat_kilometros,segmento_economico,precio_nuevo,depreciacion
654,MLU687421302,Toyota Corolla,USD,24000.0,Toyota,Corolla,1.8 Xei Aut,Usado,2019,90000,140 hp,Automática,Delantera,Nafta,4,Sí,Blanco,Tienda no oficial,92101560,RODRIGO CABANAS,2024-08-19T04:00:00.000Z,gold_premium,https://auto.mercadolibre.com.uy/MLU-687421302-toyota-corolla-_JM,Moderado kilometraje,Gama media alta,35990.0,33.3148096693526
655,MLU687475594,Toyota Hilux 2021 2.4 D.cab. T.dsl Sr,USD,45500.0,Toyota,Hilux,2.4 D.cab. T.dsl Sr,Usado,2021,68000,150 hp,Manual,4x2,Diésel,4,Sí,color_no_especificado,Tienda no oficial,50648511,ROBERTOJOLOCHIN,2024-08-20T04:00:12.876Z,gold_premium,https://auto.mercadolibre.com.uy/MLU-687475594-toyota-hilux-2021-24-dcab-tdsl-sr-_JM,Moderado kilometraje,Gama media alta,59865.0,23.995656894679694
656,MLU687056338,Toyota Hilux Sr 3.0 2016 Impecable! Aerocar,USD,37990.0,Toyota,Hilux,Sr,Usado,2016,279000,potencia_no_especificado,Manual,control_traccion_no_especificado,Diésel,4,Sí,Plateado,Tienda no oficial,482893325,AEROCAR2020,2024-11-12T04:00:00.000Z,gold,https://auto.mercadolibre.com.uy/MLU-687056338-toyota-hilux-sr-30-2016-impecable-aerocar-_JM,Excesivo kilometraje,Gama media alta,56390.0,32.62989891824792
657,MLU685716202,Toyota Hilux 2.4 D.cab. T.dsl Dx 4x4 2.4 2021 Impecable!,USD,39990.0,Toyota,Hilux,2.4 D.cab. T.dsl Dx 4x4,Usado,2021,131000,150 hp,Manual,control_traccion_no_especificado,Diésel,4,Sí,Blanco,Tienda no oficial,133552071,DOURADO MOTORS,2024-10-31T04:00:00.000Z,gold,https://auto.mercadolibre.com.uy/MLU-685716202-toyota-hilux-24-dcab-tdsl-dx-4x4-24-2021-impecable-_JM,Bastante kilometraje,Gama media alta,58990.0,32.208848957450414
658,MLU681877668,Toyota Hilux 2.4 D.cab. T.dsl Dx 4x4 2.4 2021 Impecable!,USD,39900.0,Toyota,Hilux,2.4 D.cab. T.dsl Dx 4x4,Usado,2021,120000,150 hp,Manual,control_traccion_no_especificado,Diésel,4,Sí,Blanco,Tienda no oficial,133552071,DOURADO MOTORS,2024-10-05T04:00:00.000Z,gold,https://auto.mercadolibre.com.uy/MLU-681877668-toyota-hilux-24-dcab-tdsl-dx-4x4-24-2021-impecable-_JM,Bastante kilometraje,Gama media alta,58990.0,32.36141718935413
659,MLU679381852,Toyota Hilux Sr 4x4 2020,USD,46000.0,Toyota,Hilux,2.4 D.cab. T.dsl Sr 4x4,Usado,2020,149107,150 hp,Manual,4x4,Diésel,4,Sí,Plateado,Tienda no oficial,125289335,NOGAR AUTOMOVILES,2024-09-06T04:00:00.000Z,gold,https://auto.mercadolibre.com.uy/MLU-679381852-toyota-hilux-sr-4x4-2020-_JM,Bastante kilometraje,Gama alta,65990.0,30.292468555841793
660,MLU640794829,Toyota Hilux 2.7 D.cab. Srv 4x4,USD,36900.0,Toyota,Hilux,2.7 D.cab. Srv 4x4,Usado,2020,55000,177 hp,Manual,4x4,Nafta,4,Sí,Plateado,Tienda no oficial,31616979,DELGADO AUTOMOVILES,2024-10-11T04:00:00.000Z,gold,https://auto.mercadolibre.com.uy/MLU-640794829-toyota-hilux-27-dcab-srv-4x4-_JM,Moderado kilometraje,Gama media alta,46990.0,21.472653756118323
661,MLU687397528,Toyota Hilux 2018 2.4 D.cab. T.dsl Sr 4x4,USD,43500.0,Toyota,Hilux,2.4 D.cab. T.dsl Sr 4x4,Usado,2018,280000,150 hp,Manual,4x4,Diésel,4,Sí,color_no_especificado,Tienda no oficial,67516673,DANIEL RODRIGUEZ16,2024-11-18T04:00:00.000Z,gold,https://auto.mercadolibre.com.uy/MLU-687397528-toyota-hilux-2018-24-dcab-tdsl-sr-4x4-_JM,Excesivo kilometraje,Gama alta,65990.0,34.08092135171996
662,MLU680075406,Toyota Hilux Srv 3.0 2007 - Kleist Automóviles,USD,27800.0,Toyota,Hilux,Srv,Usado,2007,519000,171 hp,Manual,control_traccion_no_especificado,Diésel,4,Sí,Verde,Tienda no oficial,147117835,KLEIST AUTOMOVILES,2024-09-18T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-680075406-toyota-hilux-srv-30-2007-kleist-automoviles-_JM,Excesivo kilometraje,Gama media alta,57418.57142857143,51.58360908615928
663,MLU642619507,Toyota Hilux Sr 2.4 2018 Muy Buen Estado! - Solycar,USD,45000.0,Toyota,Hilux,Sr,Usado,2018,175500,150 hp,Manual,4x2,Diésel,4,Sí,Rojo,Tienda no oficial,132955553,SOLYCARAUTOMOVILES,2024-11-09T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-642619507-toyota-hilux-sr-24-2018-muy-buen-estado-solycar-_JM,Bastante kilometraje,Gama media alta,56390.0,20.198616776024117
664,MLU687433954,2020 Toyota Rav 4 Limited Hybrid ,USD,44900.0,Toyota,RAV4,2.5 Hybrid,Usado,2020,82000,180 hp,Automática,4x4,Híbrido,5,Sí,Gris,Tienda no oficial,827194273,MOPACAR SALES,2024-11-17T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-687433954-2020-toyota-rav-4-limited-hybrid-_JM,Moderado kilometraje,Gama alta,66240.0,32.216183574879224
665,MLU686604544,Toyota Hilux 2.7 D.cab. Srv 4x4,USD,28490.0,Toyota,Hilux,2.7 D.cab. Srv 4x4,Usado,2018,98000,177 hp,Manual,4x4,Nafta,4,Sí,Gris,Tienda no oficial,432496996,PALERMO AUTOMOVILES,2024-11-08T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-686604544-toyota-hilux-27-dcab-srv-4x4-_JM,Moderado kilometraje,Gama media alta,46990.0,39.37007874015748
666,MLU640175793,Toyota Rav4 2020,USD,44900.0,Toyota,RAV4,2.5 Hybrid,Usado,2019,82400,180 hp,Automática,4x4,Híbrido,5,Sí,Gris,Tienda no oficial,827194273,MOPACAR SALES,2024-09-17T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-640175793-toyota-rav4-2020-_JM,Moderado kilometraje,Gama alta,66240.0,32.216183574879224
667,MLU687399138,Toyota Hilux Dc Sr 4x4,USD,46900.0,Toyota,Hilux,2.4 D.cab. T.dsl Sr 4x4,Usado,2019,153954,150 hp,Manual,4x4,Diésel,4,Sí,Plateado,Tienda no oficial,694426750,AUTOMOTORA51,2024-11-19T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-687399138-toyota-hilux-dc-sr-4x4-_JM,Bastante kilometraje,Gama alta,65990.0,28.928625549325655
668,MLU642606767,Toyora Hilux Sr 2.4 2018,USD,45000.0,Toyota,Hilux,2.4 D.cab. T.dsl Sr,Usado,2018,175566,150 hp,Manual,4x2,Diésel,4,Sí,Rojo,Tienda no oficial,1158030466,RYR AUTOMOVILES,2024-11-09T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-642606767-toyora-hilux-sr-24-2018-_JM,Bastante kilometraje,Gama media alta,59865.0,24.830869456276623
669,MLU642654417,Toyota Hilux 2019 2.7 D.cab. Srv 4x4,USD,35000.0,Toyota,Hilux,2.7 D.cab. Srv 4x4,Usado,2019,100000,177 hp,Manual,4x4,Nafta,4,Sí,color_no_especificado,Tienda no oficial,36219146,GIANESCA2007,2024-08-20T01:37:45.585Z,silver,https://auto.mercadolibre.com.uy/MLU-642654417-toyota-hilux-2019-27-dcab-srv-4x4-_JM,Bastante kilometraje,Gama media alta,46990.0,25.516067248350716
670,MLU680986194,Toyota Hilux Srv 3.0 2016 Impecable! Aerocar,USD,46990.0,Toyota,Hilux,Srv,Usado,2016,200000,potencia_no_especificado,Automática,control_traccion_no_especificado,Diésel,4,Sí,Blanco,Tienda no oficial,1446506706,AEROCAR2023,2024-09-27T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-680986194-toyota-hilux-srv-30-2016-impecable-aerocar-_JM,Mucho kilometraje,Gama media alta,57418.57142857143,18.16236658124549
671,MLU687072612,Toyota Hilux Sr 2.7 2012 Muy Buen Estado!,USD,18500.0,Toyota,Hilux,Sr,Usado,2012,290000,potencia_no_especificado,Manual,control_traccion_no_especificado,Nafta,4,Sí,Blanco,Tienda no oficial,33390116,CHEVROLET PAYSANDÚ,2024-11-12T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-687072612-toyota-hilux-sr-27-2012-muy-buen-estado-_JM,Excesivo kilometraje,Gama media alta,56390.0,67.19276467458769
672,MLU677380056,Toyota Hilux 2021 2.4 D.cab. T.dsl Dx 4x4,USD,49900.0,Toyota,Hilux,2.4 D.cab. T.dsl Dx 4x4,Usado,2021,90000,150 hp,Manual,4x4,Diésel,4,Sí,color_no_especificado,Tienda no oficial,277949004,CARRATTOAUTOMOVILES17,2024-08-22T16:09:18.000Z,silver,https://auto.mercadolibre.com.uy/MLU-677380056-toyota-hilux-2021-24-dcab-tdsl-dx-4x4-_JM,Moderado kilometraje,Gama media alta,58990.0,15.409391422274963
673,MLU684387258,Toyota Corolla Hibrido/ Serv. Oficiales,USD,29490.0,Toyota,Corolla,1.8 Se-g Cvt 140cv,Usado,2020,57588,140 hp,Automática,Delantera,Híbrido,4,Sí,color_no_especificado,Tienda no oficial,174988093,AZAR_JULI,2024-07-24T04:00:19.623Z,silver,https://auto.mercadolibre.com.uy/MLU-684387258-toyota-corolla-hibrido-serv-oficiales-_JM,Moderado kilometraje,Gama media alta,39990.0,26.25656414103526
674,MLU680213528,Toyota Corolla Xei At 1.8 Año 2018,USD,25500.0,Toyota,Corolla,1.8 Xei Aut,Usado,2018,63000,140 hp,Automática,Delantera,Nafta,4,Sí,Gris,Tienda no oficial,46518211,KIA MOTORSPANDO,2024-09-20T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-680213528-toyota-corolla-xei-at-18-ano-2018-_JM,Moderado kilometraje,Gama media alta,35990.0,29.146985273687136
675,MLU685017026,Toyota Corolla Cross ,USD,39000.0,Toyota,Corolla Cross,1.8 Seg Hybrid E-cvt,Usado,2023,16500,146 hp,Automática,4x2,Híbrido,5,Sí,Azul,Tienda no oficial,36726771,VICCHINATTI,2024-07-29T04:00:38.121Z,silver,https://auto.mercadolibre.com.uy/MLU-685017026-toyota-corolla-cross-_JM,Pocos kilometraje,Gama media alta,44740.0,12.829682610639248
676,MLU641432263,Corolla,USD,18900.0,Toyota,Corolla,1.8 Se-g Cvt 140cv,Usado,2018,190000,140 hp,Automática,Delantera,Nafta,4,Sí,Gris,Tienda no oficial,810008286,VILLA AUTOMOVILES,2024-07-23T04:00:16.495Z,silver,https://auto.mercadolibre.com.uy/MLU-641432263-corolla-_JM,Mucho kilometraje,Gama media alta,39990.0,52.73818454613654
677,MLU639669577,Toyota Hilux 2019 2.4 D.cab. T.dsl Sr 4x4,USD,47500.0,Toyota,Hilux,2.4 D.cab. T.dsl Sr 4x4,Usado,2019,149000,150 hp,Manual,4x4,Diésel,4,Sí,color_no_especificado,Tienda no oficial,113519643,AUTCUEVAS,2024-09-01T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-639669577-toyota-hilux-2019-24-dcab-tdsl-sr-4x4-_JM,Bastante kilometraje,Gama alta,65990.0,28.019396878314893
678,MLU676717314,Toyota Corolla Cross 2022,USD,38900.0,Toyota,Corolla Cross,1.8 Seg Hybrid E-cvt,Usado,2022,35000,146 hp,Automática,4x2,Híbrido,5,Sí,Blanco,Tienda no oficial,110300095,RENATOCONTI AUTOMOVILES,2024-08-14T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-676717314-toyota-corolla-cross-2022-_JM,Pocos kilometraje,Gama media alta,44740.0,13.053196244970945
679,MLU638978401,Toyota Hilux 2020 2.4 D.cab. T.dsl Sr,USD,44900.0,Toyota,Hilux,2.4 D.cab. T.dsl Sr,Usado,2020,144600,150 hp,Manual,4x2,Diésel,4,Sí,color_no_especificado,Tienda no oficial,45606786,BOULEVARD AUTOMOVILES,2024-08-16T03:51:37.175Z,silver,https://auto.mercadolibre.com.uy/MLU-638978401-toyota-hilux-2020-24-dcab-tdsl-sr-_JM,Bastante kilometraje,Gama media alta,59865.0,24.997911968596007
680,MLU683401028,Toyota Hilux Sr 4x4 Diesel,USD,41500.0,Toyota,Hilux,2.4 D.cab. T.dsl Sr 4x4,Usado,2019,113000,150 hp,Manual,4x4,Diésel,4,Sí,Rojo,Tienda no oficial,153864078,PERDOMO1701,2024-10-18T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-683401028-toyota-hilux-sr-4x4-diesel-_JM,Bastante kilometraje,Gama alta,65990.0,37.11168358842249
681,MLU675464732,Toyota Corolla Cross 2022 1.8 Seg Hybrid E-cvt,USD,39800.0,Toyota,Corolla Cross,1.8 Seg Hybrid E-cvt,Usado,2022,70000,146 hp,Automática,4x2,Híbrido,5,Sí,color_no_especificado,Tienda no oficial,204970929,BRAVO AUTOMOVILES,2024-07-29T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-675464732-toyota-corolla-cross-2022-18-seg-hybrid-e-cvt-_JM,Moderado kilometraje,Gama media alta,44740.0,11.041573535985695
682,MLU681513960,Toyota Hilux 2022 2.4 D.cab. T.dsl Dx 4x4,USD,54000.0,Toyota,Hilux,2.4 D.cab. T.dsl Dx 4x4,Usado,2022,49000,150 hp,Manual,4x4,Diésel,4,Sí,color_no_especificado,Tienda no oficial,277949004,CARRATTOAUTOMOVILES17,2024-10-03T16:18:30.190Z,silver,https://auto.mercadolibre.com.uy/MLU-681513960-toyota-hilux-2022-24-dcab-tdsl-dx-4x4-_JM,Pocos kilometraje,Gama media alta,58990.0,8.459060857772503
683,MLU640090447,Toyota Hilux 2019 2.7 D.cab. Srv 4x4,USD,32800.0,Toyota,Hilux,2.7 D.cab. Srv 4x4,Usado,2019,140000,177 hp,Manual,4x4,Nafta,4,Sí,color_no_especificado,Tienda no oficial,204970929,BRAVO AUTOMOVILES,2024-09-17T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-640090447-toyota-hilux-2019-27-dcab-srv-4x4-_JM,Bastante kilometraje,Gama media alta,46990.0,30.19791444988296
684,MLU685800320,Toyota Rav4 Hybrid,USD,39900.0,Toyota,RAV4,2.5 Hybrid,Usado,2019,138000,180 hp,Automática,4x4,Híbrido,5,Sí,Blanco,Tienda no oficial,153306575,AUTOMOTORA ELGAUCHO,2024-11-01T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-685800320-toyota-rav4-hybrid-_JM,Bastante kilometraje,Gama alta,66240.0,39.76449275362319
685,MLU676719656,Toyota Hilux 2023 2.4 D.cab. T.dsl Sr 4x4,USD,65990.0,Toyota,Hilux,2.4 D.cab. T.dsl Sr 4x4,Usado,2023,100,150 hp,Manual,4x4,Diésel,4,Sí,color_no_especificado,Tienda no oficial,277949004,CARRATTOAUTOMOVILES17,2024-08-15T16:09:23.495Z,silver,https://auto.mercadolibre.com.uy/MLU-676719656-toyota-hilux-2023-24-dcab-tdsl-sr-4x4-_JM,Como nuevo,Gama alta,65990.0,0.0
686,MLU684452710,Toyota Corolla Seg Hibrido,USD,26700.0,Toyota,Corolla,1.8 Se-g Cvt 140cv,Usado,2021,132000,140 hp,Automática,Delantera,Nafta,4,Sí,Gris,Tienda no oficial,70332029,JAVIERGAIONE2014,2024-10-22T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-684452710-toyota-corolla-seg-hibrido-_JM,Bastante kilometraje,Gama media alta,39990.0,33.23330832708177
687,MLU683765198,Toyota Hilux 3.0 Srv 2014 At Diesel 4x4 Gris - Ref: 1866,USD,38900.0,Toyota,Hilux,Srv,Usado,2014,260000,160 hp,Automática,4x4,Diésel,4,Sí,Gris,Tienda no oficial,273451002,PEIREN_AUTOMOVILES,2024-10-19T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-683765198-toyota-hilux-30-srv-2014-at-diesel-4x4-gris-ref-1866-_JM,Excesivo kilometraje,Gama media alta,57418.57142857143,32.25188465653223
688,MLU687120054,Toyota Rav4,USD,42500.0,Toyota,RAV4,2.5 Hybrid,Usado,2020,97000,180 hp,Automática,4x4,Híbrido,5,Sí,Gris,Tienda no oficial,1322970593,OBRACARCENTRO,2024-11-12T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-687120054-toyota-rav4-_JM,Moderado kilometraje,Gama alta,66240.0,35.839371980676326
